raw_symbol,instrument_id,date
SPY,9503,2023-08-21
SPY,9509,2023-08-22
SPY,9511,2023-08-23
SPY,9502,2023-08-24
SPY,9499,2023-08-25
SPY,9499,2023-08-26
SPY,9499,2023-08-27
SPY,9490,2023-08-28
SPY,9488,2023-08-29
SPY,9490,2023-08-30
SPY,9488,2023-08-31
SPY,9480,2023-09-01
SPY,9480,2023-09-02
SPY,9480,2023-09-03
SPY,9480,2023-09-04
SPY,9477,2023-09-05
SPY,9476,2023-09-06
SPY,9473,2023-09-07
SPY,9472,2023-09-08
SPY,9472,2023-09-09
SPY,9472,2023-09-10
SPY,9470,2023-09-11
SPY,9473,2023-09-12
SPY,9472,2023-09-13
SPY,9475,2023-09-14
SPY,9482,2023-09-15
SPY,9482,2023-09-16
SPY,9482,2023-09-17
SPY,9486,2023-09-18
SPY,9492,2023-09-19
SPY,9499,2023-09-20
SPY,9504,2023-09-21
SPY,9505,2023-09-22
SPY,9505,2023-09-23
SPY,9505,2023-09-24
SPY,9497,2023-09-25
SPY,9490,2023-09-26
SPY,9496,2023-09-27
SPY,9502,2023-09-28
SPY,9502,2023-09-29
SPY,9502,2023-09-30
SPY,9502,2023-10-01
SPY,9512,2023-10-02
SPY,9513,2023-10-03
SPY,9513,2023-10-04
SPY,9513,2023-10-05
SPY,9515,2023-10-06
SPY,9515,2023-10-07
SPY,9515,2023-10-08
SPY,9511,2023-10-09
SPY,9508,2023-10-10
SPY,9512,2023-10-11
SPY,9507,2023-10-12
SPY,9504,2023-10-13
SPY,9504,2023-10-14
SPY,9504,2023-10-15
SPY,9493,2023-10-16
SPY,9488,2023-10-17
SPY,9484,2023-10-18
SPY,9494,2023-10-19
SPY,9489,2023-10-20
SPY,9489,2023-10-21
SPY,9489,2023-10-22
SPY,9482,2023-10-23
SPY,9477,2023-10-24
SPY,9472,2023-10-25
SPY,9474,2023-10-26
SPY,9478,2023-10-27
SPY,9478,2023-10-28
SPY,9478,2023-10-29
SPY,9470,2023-10-30
SPY,9468,2023-10-31
SPY,9468,2023-11-01
SPY,9472,2023-11-02
SPY,9471,2023-11-03
SPY,9471,2023-11-04
SPY,9471,2023-11-05
SPY,9466,2023-11-06
SPY,9464,2023-11-07
SPY,9461,2023-11-08
SPY,9463,2023-11-09
SPY,9459,2023-11-10
SPY,9459,2023-11-11
SPY,9459,2023-11-12
SPY,9453,2023-11-13
SPY,9456,2023-11-14
SPY,9456,2023-11-15
SPY,9452,2023-11-16
SPY,9445,2023-11-17
SPY,9445,2023-11-18
SPY,9445,2023-11-19
SPY,9449,2023-11-20
SPY,9446,2023-11-21
SPY,9447,2023-11-22
SPY,9447,2023-11-23
SPY,9445,2023-11-24
SPY,9445,2023-11-25
SPY,9445,2023-11-26
SPY,9446,2023-11-27
SPY,15144,2023-11-28
SPY,15144,2023-11-29
SPY,15144,2023-11-30
SPY,15144,2023-12-01
SPY,15144,2023-12-02
SPY,15144,2023-12-03
SPY,15144,2023-12-04
SPY,15144,2023-12-05
SPY,15144,2023-12-06
SPY,15144,2023-12-07
SPY,15144,2023-12-08
SPY,15144,2023-12-09
SPY,15144,2023-12-10
SPY,15144,2023-12-11
